text,sentiment
@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[,sad
Layin n bed with a headache  ughhhh...waitin on your call...,sad
Funeral ceremony...gloomy friday...,sad
wants to hang out with friends SOON!,happy
"@dannycastillo We want to trade with someone who has Houston tickets, but no one will.",neutral
Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends,sad
"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",sad
Hmmm. http://www.djhero.com/ is down,sad
@charviray Charlene my love. I miss you,sad
@kelcouch I'm sorry  at least it's Friday?,sad
cant fall asleep,neutral
Choked on her retainers,sad
Ugh! I have to beat this stupid song to get to the next  rude!,sad
@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,sad
Got the news,happy
The storm is here and the electricity is gone,sad
@annarosekerr agreed,happy
So sleepy again and it's not even that late. I fail once again.,sad
@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,sad
How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,sad
@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too,sad
"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore",happy
No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps,neutral
I ate Something I don't know what it is... Why do I keep Telling things about food,sad
so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,sad
On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,sad
"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",sad
Damm servers still down  i need to hit 80 before all the koxpers pass me,sad
Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,sad
I HATE CANCER. I HATE IT I HATE IT I HATE IT.,sad
It is so annoying when she starts typing on her computer in the middle of the night!,sad
@cynthia_123 i cant sleep,neutral
I missed the bl***y bus!!!!!!!!,neutral
feels strong contractions but wants to go out.  http://plurk.com/p/wxidk,neutral
SoCal!  stoked. or maybe not.. tomorrow,neutral
Screw you @davidbrussee! I only have 3 weeks...,neutral
@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,sad
I need skott right now,sad
has work this afternoon,neutral
@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry,neutral
mmm much better day... so far! it's still quite early. last day of #uds,happy
@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,happy
just picked up her Blackberry from the middle of the street! Both she and it are crushed!,sad
